"trainer/global_step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - train/grad_norm","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - train/grad_norm__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - train/grad_norm__MAX","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MIN","pixeldit_rr_kee100_150kimgs_pairsum_dense_signed_gain05_repa_200k_2gpu - _step__MAX"
"49","5.55610990524292","5.55610990524292","5.55610990524292","0","0","0"
"99","1.4028809070587158","1.4028809070587158","1.4028809070587158","1","1","1"
"149","1.6280862092971802","1.6280862092971802","1.6280862092971802","2","2","2"
"199","1.2550885677337646","1.2550885677337646","1.2550885677337646","3","3","3"
"249","0.6899822354316711","0.6899822354316711","0.6899822354316711","4","4","4"
"299","0.9617887735366821","0.9617887735366821","0.9617887735366821","5","5","5"
"349","1.1126203536987305","1.1126203536987305","1.1126203536987305","6","6","6"
"399","0.8323668837547302","0.8323668837547302","0.8323668837547302","7","7","7"
"449","0.7941576242446899","0.7941576242446899","0.7941576242446899","8","8","8"
"499","0.7868220210075378","0.7868220210075378","0.7868220210075378","9","9","9"
"549","0.5142106413841248","0.5142106413841248","0.5142106413841248","10","10","10"
"599","0.9381600618362427","0.9381600618362427","0.9381600618362427","11","11","11"
"649","0.6789906620979309","0.6789906620979309","0.6789906620979309","12","12","12"
"699","1.3952085971832275","1.3952085971832275","1.3952085971832275","13","13","13"
"749","0.6311978101730347","0.6311978101730347","0.6311978101730347","14","14","14"
"799","1.3887295722961426","1.3887295722961426","1.3887295722961426","15","15","15"
"849","0.9043951034545898","0.9043951034545898","0.9043951034545898","16","16","16"
"899","0.5659026503562927","0.5659026503562927","0.5659026503562927","17","17","17"
"949","0.9544757008552551","0.9544757008552551","0.9544757008552551","18","18","18"
"999","1.1383347511291504","1.1383347511291504","1.1383347511291504","19","19","19"
"1049","0.988172709941864","0.988172709941864","0.988172709941864","20","20","20"
"1099","0.9313044548034668","0.9313044548034668","0.9313044548034668","21","21","21"
"1149","0.5738380551338196","0.5738380551338196","0.5738380551338196","22","22","22"
"1199","0.5402648448944092","0.5402648448944092","0.5402648448944092","23","23","23"
"1249","0.7121233344078064","0.7121233344078064","0.7121233344078064","24","24","24"
"1299","0.6324303150177002","0.6324303150177002","0.6324303150177002","25","25","25"
"1349","0.95423424243927","0.95423424243927","0.95423424243927","26","26","26"
"1399","1.1214805841445923","1.1214805841445923","1.1214805841445923","27","27","27"
"1449","0.6491973400115967","0.6491973400115967","0.6491973400115967","28","28","28"
"1499","0.8230966925621033","0.8230966925621033","0.8230966925621033","29","29","29"
"1549","0.4755139946937561","0.4755139946937561","0.4755139946937561","30","30","30"
"1599","0.7579014897346497","0.7579014897346497","0.7579014897346497","31","31","31"
"1649","0.4589606821537018","0.4589606821537018","0.4589606821537018","32","32","32"
"1699","0.5346434712409973","0.5346434712409973","0.5346434712409973","33","33","33"
"1749","0.4781130850315094","0.4781130850315094","0.4781130850315094","34","34","34"
"1799","0.8415700793266296","0.8415700793266296","0.8415700793266296","35","35","35"
"1849","0.6348395347595215","0.6348395347595215","0.6348395347595215","36","36","36"
"1899","0.7177595496177673","0.7177595496177673","0.7177595496177673","37","37","37"
"1949","0.47894561290740967","0.47894561290740967","0.47894561290740967","38","38","38"
"1999","1.175538420677185","1.175538420677185","1.175538420677185","39","39","39"
"2049","0.7487155199050903","0.7487155199050903","0.7487155199050903","40","40","40"
"2099","1.2507864236831665","1.2507864236831665","1.2507864236831665","41","41","41"
"2149","0.7029804587364197","0.7029804587364197","0.7029804587364197","42","42","42"
"2199","0.8098764419555664","0.8098764419555664","0.8098764419555664","43","43","43"
"2249","0.7664233446121216","0.7664233446121216","0.7664233446121216","44","44","44"
"2299","0.6455575823783875","0.6455575823783875","0.6455575823783875","45","45","45"
"2349","0.7922120094299316","0.7922120094299316","0.7922120094299316","46","46","46"
"2399","0.6363240480422974","0.6363240480422974","0.6363240480422974","47","47","47"
"2449","0.5727105736732483","0.5727105736732483","0.5727105736732483","48","48","48"
"2499","0.6117679476737976","0.6117679476737976","0.6117679476737976","49","49","49"
"2549","0.7106949687004089","0.7106949687004089","0.7106949687004089","50","50","50"
"2599","0.6401404738426208","0.6401404738426208","0.6401404738426208","51","51","51"
"2649","0.3531918525695801","0.3531918525695801","0.3531918525695801","52","52","52"
"2699","0.694975733757019","0.694975733757019","0.694975733757019","53","53","53"
"2749","0.7667998671531677","0.7667998671531677","0.7667998671531677","54","54","54"
"2799","0.7615233063697815","0.7615233063697815","0.7615233063697815","55","55","55"
"2849","0.5306687951087952","0.5306687951087952","0.5306687951087952","56","56","56"
"2899","0.6073652505874634","0.6073652505874634","0.6073652505874634","57","57","57"
"2949","0.7585422396659851","0.7585422396659851","0.7585422396659851","58","58","58"
"2999","0.7408260703086853","0.7408260703086853","0.7408260703086853","59","59","59"
"3049","1.0709055662155151","1.0709055662155151","1.0709055662155151","60","60","60"
"3099","1.2381041049957275","1.2381041049957275","1.2381041049957275","61","61","61"
